,user_id,username,name
119,1475391813783412736,wotahproblems,E 🧣🪩
120,1139970839535689728,lapuercaylor,La Tia Puercaylor (Taylor’s version)
121,163384337,michaelcurzi,𝖒𝖎𝖈𝖍𝖆𝖊𝖑 𝖈𝖚𝖗𝖟𝖎
122,961436978955907072,swiftiestyless,stephanie🏡♥️
123,1514982255558492165,lilacphrodite,lilac!
124,1051832043917561856,nuriyadi86,Nuriyadi
125,880188200509222912,julinhafuracaoo,Julia Alvarenga 🐺
126,307081191,ionafyfe,Iona Fyfe
127,1363111641416523776,saturnfem,moon squire 🌙
128,19063323,nme,NME
129,1438232704995188743,jomarchpilled,taylor swift’s gf
130,1512871634478194697,itscezary,cezary (taylor’s version)
131,1163175589228023809,ahlaksahibi,zeynep?
132,1480620914811228163,javiha92,Javi
133,1388814859219968003,itsnotasli,aslı🧣
134,1321938420042735617,ervemore,polo
135,1504061508170690560,justsawtaylor,i just saw taylor swift
136,1262769562048761857,folk89red,Seven
137,32518238,taylorswiftbr,Taylor Swift Brasil 🧣
138,1410919267629887491,folklorianwolf,dennis | limit era
139,1463482921575190537,swiftieshq13,swifties hq🧣
140,1464994233174142985,aturegeldiyev,Ansar yo momma
141,1380519506494152709,oksanasbullet,oksana's bullet 🪦
142,1021842226962419715,turbococotte,simple bimbo profitant de la société du pesto
143,1499022390998835207,augustwiine,maya 🍂 !!
144,1547310734,itsnothesameas,☹️
145,1211064295355637760,sapphicardigan,hailey
146,1367223381012062212,ramireyes6,Rami (Taylor’s Version)
147,1451216161249579008,clubdelibros_py,Librería Club de libros
148,1495410728617984001,booksxcafe,𝐀♡
149,461688027,worldmusicaward,World Music Awards
150,2175573898,waschbaerfan7,anna xcx 🚘💥🏠 (julian stan)
151,1463596600803020801,iharuka_,MissAdeleSingingWoman
152,1212896818524127233,uvwitchbefore,Pop Crave
153,1329047758423150592,traumnoveiie,ivanelly 🏹🫀
154,1081698467339272192,taylissa13,Lara 🧚‍♀️
155,1390634633373659138,hayieyswift,MVzinha ♥︎
156,1283283800324280320,kauthicc,cowboy like kaushik 🫶🏼
157,1247772404899704833,livbensonsgf,audra 🪩🌿
158,1278793958,jaszade,jmz
159,1162360983479672832,stanjoealwyn,Jatin 🧣
160,1264190433179037696,zeppelinswift13,𝒕𝒐𝒍𝒆𝒓𝒂𝒕𝒆 𝒊𝒕 ✯
161,1443854069748191243,adelefever30,SARA| 66 | 326
162,1479611783233036292,sourlivieo,🍷
163,927528175680344064,reisbarbara_,barbie
164,1182063884888240128,mileshuang0410,ages(Adele’s version)
165,1355470612853125122,ivysiilicit,"alice ♡’s ken, liz, ale"
166,1387580250498895872,falakcalmdownn,falak 🌩
167,1262791740337065984,_nakajma,juh
168,949317867001995265,alievmore,aliRed 🧣
169,1062905834248663041,dlankada,Divya(Taylor's version)
170,1469469385391755267,nickmullensgf,kayla
171,1006616363807408129,cinncmngirl,em
172,1287687755338661894,1889outcharted,delicate
173,1243654538524913664,kissevermore,sarah (biggest plant fan)
174,1462072791486939145,trackfiveguy,ryan (taylor’s version)
175,1498448464312778755,gomeszin160,CG160
176,1321717223451492352,mrymymymym,itsMaryam
177,1457040255085776900,luveisintheair,dirtychai.eth
178,1244455425459789825,wildxwired,s a m
179,815617351,tomxs_v,tomi
180,1223648965150687233,keunasexy,irish 🎀
181,1361707655409057792,sally_albrightt,Margarita 🌼
182,1419362311438016518,reijaeluv,ً
183,1162271510830075905,illicitaffvairs,katje🪩
184,283532741,mancicu,manuel🧣
185,1131539276498460672,taybeautifulll,Allie 🏳️‍🌈
186,473393426,wiczipedia,Nina Jankowicz 🇺🇦🇺🇸
187,1128048841,kadirchav,KadirChe 🧣🦩
188,204728877,autumnhoaxes,Sowmya🪩🧣
189,1247050336918843392,pranavi75868976,Fire347
190,907957920779964416,tayrush,sara 💖
191,1517464385177985025,covntinthestars,lola met madison 🤍
192,1491220703747653635,notime4rewritz,alexi 💌🪩🌹 (he/him)
